"Company Name","Country","Industry","Employee Range","Revenue Range","Time spent","Pages viewed","Domain","Initial Page seen","Campaign","Channel"
"Vintech Electronic Systems Pvt Ltd","India","Software and Technology","100 - 249","$50M - $100M","22s","","vintechin.com","www.factors.ai/customer-agreement","$none","Direct"
"Amazon","India","Retail and Distribution","10,000+","$5B+","22s","","amazon.com","app.factors.ai/profiles/people","$none","Direct"
"Togai","India","Software and Technology","20 - 49","$5M - $10M","22s","","togai.com","www.factors.ai","$none","Direct"
"BIM INFOTECH PVT. LTD","India","$none","10 - 19","$none","22s","","bim-infotech.com","app.factors.ai/settings/pricing","$none","Direct"
"TechnoInfotech","India","Software and Technology","20 - 49","$1M - $5M","22s","","technoinfotech.com","www.factors.ai","$none","Direct"
"MyHolidays","India","Hospitality and Travel","20 - 49","$5M - $10M","22s","","myholidays.com","www.factors.ai","$none","Direct"
"Pan African Towers","Nigeria","Telecommunications","100 - 249","$none","22s","","panafricantowers.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"General Electric Company","United States","Manufacturing","10,000+","$5B+","22s","","ge.com","www.factors.ai/blog/hubspot-analytics-vs-factors","$none","Direct"
"EP1","United States","Business Services","20 - 49","$1M - $5M","22s","","entrypoint1.com","app.factors.ai","$none","Organic Search"
"Motion Ave","United States","Business Services","10 - 19","$1M - $5M","22s","","motionave.com","www.factors.ai","$none","Direct"
"TransUnion LLC","India","Financial Services","10,000+","$2.5B - $5B","21s","","transunion.com","www.factors.ai","$none","Direct"
"LeanData","India","Software and Technology","100 - 249","$25M - $50M","21s","","leandata.com","app.factors.ai/login","$none","Direct"
"GANSONS LIMITED","India","Manufacturing","250 - 499","$50M - $100M","21s","","gansons.com","www.factors.ai","$none","Direct"
"ABACIESLOGICIELS","India","Business Services","20 - 49","$10M - $25M","21s","","abacies.com","www.factors.ai","$none","Direct"
"SalesVista","United States","Software and Technology","50 - 99","$5M - $10M","21s","","salesvista.com","www.factors.ai/blog/lead-generation-vs-demand-generation","$none","Organic Search"
"BITS Pilani","India","Education","1,000 - 4,999","$100M - $250M","20s","","bits-pilani.ac.in","www.factors.ai","$none","Direct"
"The Conexus Group","United Kingdom","Business Services","100 - 249","$50M - $100M","20s","","theconexusgroup.com","www.factors.ai/blog/account-based-marketing-vs-demand-generation","$none","Organic Search"
"KBTU","Kazakhstan","Education","100 - 249","$50M - $100M","20s","","kbtu.kz","www.factors.ai/blog/visitor-identification-software","$none","Organic Search"
"University Of Ioannina","Greece","Education","1,000 - 4,999","$100M - $250M","20s","","uoi.gr","www.factors.ai","$none","Organic Search"
"Ethosh","India","Business Services","100 - 249","$1M - $5M","19s","","ethosh.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"Laboratorios Sanfer","Mexico","Pharmaceuticals","1,000 - 4,999","$25M - $50M","19s","","sanfer.com.mx","www.factors.ai/blog/pipeline-velocity","$none","Organic Search"
"The Ramco Cements Limited","India","Manufacturing","1,000 - 4,999","$500M - $1B","19s","","ramcocements.co.in","www.factors.ai/pricing","$none","Direct"
"MoreTasks","India","Business Services","50 - 99","$50M - $100M","19s","","moretasks.com","app.factors.ai","$none","Direct"
"Intel Corporation","India","Hardware","10,000+","$5B+","19s","","intel.com","app.factors.ai","$none","Direct"
"Stellantis N.V.","France","Manufacturing","10,000+","$5B+","19s","","stellantis.com","www.factors.ai","$none","Business Tools"
"AGH","Poland","Education","1,000 - 4,999","$10M - $25M","19s","","student.agh.edu.pl","app.factors.ai","$none","Direct"
"Capgemini SA","India","Business Services","10,000+","$5B+","19s","","capgemini.com","app.factors.ai","$none","Direct"
"MVF","United Kingdom","Software and Technology","250 - 499","$50M - $100M","19s","","mvfglobal.com","www.factors.ai","$none","Direct"
"SFO Technologies","India","Software and Technology","1,000 - 4,999","$100M - $250M","19s","","nestgroup.net","www.factors.ai/blog/leadfeeder-vs-albacross","$none","Organic Search"
"Wittenborg University Of Applied Sciences","Netherlands","Education","100 - 249","$50M - $100M","18s","","wittenborg.eu","www.factors.ai","$none","Direct"
"Kaiser Permanente","United States","Healthcare and Medical","10,000+","$5B+","18s","","kaiserpermanente.org","www.factors.ai","$none","Direct"
"Apxor","India","Software and Technology","20 - 49","$1M - $5M","18s","","apxor.com","www.factors.ai","$none","Direct"
"ANULAP ENTERPRISES PVT LTD","India","Business Services","20 - 49","$1M - $5M","18s","","anulap.co.in","www.factors.ai","$none","Direct"
"Honeycomb Creative Support","India","Business Services","100 - 249","$10M - $25M","18s","","honeycombindia.net","www.factors.ai","$none","Direct"
"All Star Games","India","Media and Entertainment","20 - 49","$1M - $5M","18s","","allstargames.io","www.factors.ai","$none","Organic Search"
"Synacor","United States","Software and Technology","250 - 499","$250M - $500M","18s","","synacor.com","www.factors.ai/versus/leadfeeder","TD_Search_India_Deanon_Competition","Paid Search"
"Built Technologies","United States","Business Services","250 - 499","$50M - $100M","18s","","getbuilt.com","www.factors.ai","$none","Direct"
